po_number,po_item,company_code,plant,creation_date,cost_center_wbs,func_area,func_area_txt
4509001801,60,3000,1000,20251225,1012296,12,Information Technology
4805004054,30,3000,3200,20260915,1028666,28,SS Global Procurement
4805004055,60,2000,1100,20171114,1035777,35,Sales & Marketing
4805004056,10,1000,4100,20250219,1027888,27,Manufacturing Support
4805004056,40,4100,10M2,20240110,1035099,35,Sales & Marketing
4509001803,30,4100,10M2,20170925,1012481,12,Information Technology
4805004058,20,2000,10M2,20200924,1035321,35,Sales & Marketing
4805004059,50,1000,1033,20170228,1012432,12,Information Technology
4805004059,80,4100,1031,20190208,1035543,35,Sales & Marketing
4805004060,30,3000,4100,20250223,1032654,32,Supply Chain
4509001805,80,1000,2100,20180715,1028666,28,SS Global Procurement
4805004062,10,1000,10M2,20180801,1030876,30,Digitization
4805004062,40,4100,1000,20260719,1032087,32,Supply Chain
4805004063,70,3000,4100,20190504,1035198,35,Sales & Marketing
4805004064,20,2000,1031,20200815,1032309,32,Supply Chain
4509001806,50,2000,10M2,20240101,1015851,15,EHSS
4805004065,80,4100,1100,20260204,1027531,27,Manufacturing Support
4805004066,30,3000,2100,20180527,1032642,32,Supply Chain
4805004067,60,2000,2100,20250415,1012753,12,Information Technology
4805004068,10,1000,1100,20210528,1023864,23,Corporate Affairs
4509001808,20,3000,2100,20220224,1017136,17,Technology & Innovation
4805004069,70,3000,2100,20260225,1025186,25,Human Resources
4805004070,20,2000,4100,20180728,1020297,20,Legal
4805004071,50,1000,1100,20220124,1012408,12,Information Technology
4805004071,80,4100,4100,20171028,1017519,17,Technology & Innovation
4509001810,70,4100,10M1,20181113,1009321,9,Executive Office
4805004073,60,2000,1100,20200518,1012741,12,Information Technology
4805004074,10,1000,1031,20250325,1017137,30,Digitization
4805004074,40,4100,10M2,20251207,1009063,9,Executive Office
4805004075,70,3000,2100,20170628,1012174,12,Information Technology
4509001811,40,1000,3200,20250909,1035506,35,Sales & Marketing
4805004077,50,1000,1100,20200204,1023396,23,Corporate Affairs
4805004077,80,4100,1100,20191002,1025507,25,Human Resources
4805004078,30,3000,10M2,20171017,1023618,23,Corporate Affairs
4805004079,60,2000,1000,20221103,1028729,28,SS Global Procurement
4509001813,10,2000,1000,20211005,1030691,30,Digitization
4805004080,40,4100,10M1,20210102,1028051,28,SS Global Procurement
4805004081,70,3000,2100,20180915,1017162,17,Technology & Innovation
4805004082,20,2000,2100,20171226,1020273,20,Legal
4805004083,50,1000,10M1,20240124,1035384,35,Sales & Marketing
4509001815,60,3000,4100,20230123,1023876,23,Corporate Affairs
4805004084,30,3000,4100,20240916,1014606,14,SS Facility Mgt
4805004085,60,2000,1100,20170713,1027717,27,Manufacturing Support
4805004086,10,1000,2100,20241009,1009828,9,Executive Office
4805004086,40,4100,3200,20250207,1015039,15,EHSS
4509001816,30,4100,1100,20240726,1027161,27,Manufacturing Support
4805004088,20,2000,1031,20260908,1009261,9,Executive Office
4805004089,50,1000,2100,20231011,1025372,25,Human Resources
4805004089,80,4100,1000,20211006,1030483,30,Digitization
4805004090,30,3000,4100,20230408,1010594,10,Finance
4509001818,80,1000,4100,20180226,1009346,9,Executive Office
4805004092,10,1000,1000,20200710,1012816,12,Information Technology
4805004092,40,4100,10M2,20230807,1028027,28,SS Global Procurement
4805004093,70,3000,10M1,20180128,1015138,15,EHSS
4805004094,20,2000,1031,20260201,1027249,27,Manufacturing Support
4509001820,50,2000,1031,20181121,1010531,10,Finance
4805004095,80,4100,1031,20190409,1020471,20,Legal
4805004096,30,3000,10M2,20191012,1009582,9,Executive Office
4805004097,60,2000,,20170520,1028693,28,SS Global Procurement
4805004098,10,1000,10M1,20210809,1014804,14,SS Facility Mgt
4509001821,20,3000,1031,20171216,1012716,12,Information Technology
4805004099,70,3000,1033,20261003,1009126,9,Executive Office
4805004100,20,2000,1031,20251218,1012237,12,Information Technology
4805004101,50,1000,1033,20181127,1032348,32,Supply Chain
4805004101,80,4100,10M1,20180801,1015459,15,EHSS
4509001823,70,4100,2100,20180825,1025001,25,Human Resources
4805004103,60,2000,1000,20190106,1014681,14,SS Facility Mgt
4805004104,10,1000,2100,20210210,1030792,30,Digitization
4805004104,40,4100,1000,20250120,1027003,27,Manufacturing Support
4805004105,70,3000,1000,20190610,1028114,28,SS Global Procurement
4509001825,40,1000,2100,20211201,1028186,28,SS Global Procurement
4805004107,50,1000,3200,20260303,1010336,10,Finance
4805004107,80,4100,1100,20260809,1017447,17,Technology & Innovation
4805004108,30,3000,3200,20230314,1025519,12,Information Technology
4805004109,60,2000,4100,20200928,1015669,15,EHSS
4509001826,10,2000,10M1,20170918,1035371,35,Sales & Marketing
4805004110,40,4100,1100,20230920,1017891,17,Technology & Innovation
4805004111,70,3000,10M1,20180110,1012102,12,Information Technology
4805004112,20,2000,1031,20180413,1017213,17,Technology & Innovation
4805004113,50,1000,2100,20261105,1020324,20,Legal
4509001828,60,3000,1033,20180203,1030556,30,Digitization
4805004114,30,3000,2100,20210715,1027546,27,Manufacturing Support
4805004115,60,2000,10M1,20261115,1017657,17,Technology & Innovation
4805004116,10,1000,10M2,20210207,1010768,10,Finance
4805004116,40,4100,2100,20210302,1012879,12,Information Technology
4509001830,30,4100,1000,20241106,1009741,9,Executive Office
4805004118,20,2000,1100,20190528,1028201,28,SS Global Procurement
4805004119,50,1000,3200,20250522,1012312,12,Information Technology
4805004119,80,4100,1033,20241019,1015423,15,EHSS
4805004120,30,3000,1000,20170116,1027534,27,Manufacturing Support
4509001831,80,1000,1031,20240924,1010026,10,Finance
4805004122,10,1000,1031,20250612,1028756,28,SS Global Procurement
4805004122,40,4100,4100,20170712,1014867,14,SS Facility Mgt
4805004123,70,3000,1031,20181013,1035078,35,Sales & Marketing
4805004124,20,2000,1031,20230304,1027189,27,Manufacturing Support
4509001833,50,2000,10M1,20181106,1032211,32,Supply Chain
4805004125,80,4100,2100,20250104,1014411,14,SS Facility Mgt
4805004126,30,3000,4100,20210215,1015522,15,EHSS
4805004127,60,2000,1031,20240807,1012633,12,Information Technology
4805004128,10,1000,1000,20170328,1015744,15,EHSS
4509001835,20,3000,1033,20261007,1012396,12,Information Technology
4805004129,70,3000,3200,20200626,1015066,15,EHSS
4805004130,20,2000,2100,20231226,1012177,12,Information Technology
4805004131,50,1000,1031,20200309,1028288,28,SS Global Procurement
4805004131,80,4100,1000,20250415,1028399,28,SS Global Procurement
4509001836,70,4100,3200,20240704,1023581,23,Corporate Affairs
4805004133,60,2000,3200,20210422,1012621,12,Information Technology
4805004134,10,1000,10M1,20220625,1027732,27,Manufacturing Support
4805004134,40,4100,1100,20230603,1015843,15,EHSS
4805004135,70,3000,1000,20170928,1015054,15,EHSS
4509001838,40,1000,10M1,20190528,1027766,27,Manufacturing Support
4805004137,50,1000,10M2,20220624,1015276,15,EHSS
4805004137,80,4100,1100,20200317,1027387,27,Manufacturing Support
4805004138,30,3000,3200,20190327,1015498,15,EHSS
4805004139,60,2000,1100,20210920,1017609,17,Technology & Innovation
4509001840,10,2000,4100,20190724,1012051,12,Information Technology
4805004140,40,4100,10M2,20260927,1025831,25,Human Resources
4805004141,70,3000,1100,20200502,1012042,12,Information Technology
4805004142,20,2000,3200,20250524,1017153,17,Technology & Innovation
4805004143,50,1000,3200,20171005,1025264,25,Human Resources
4509001841,60,3000,1033,20230404,1009236,9,Executive Office
4805004144,30,3000,10M2,20210904,1017486,17,Technology & Innovation
4805004145,60,2000,3200,20200305,1009597,9,Executive Office
4805004146,10,1000,1033,20180612,1009708,9,Executive Office
4805004146,40,4100,1033,20200902,1014104,30,Digitization
4509001843,30,4100,10M1,20230526,1028421,28,SS Global Procurement
4805004148,20,2000,1031,20170928,1025141,25,Human Resources
4805004149,50,1000,2100,20181201,1030252,30,Digitization
4805004149,80,4100,3200,20170522,1012363,12,Information Technology
4805004150,30,3000,1031,20240213,1020474,20,Legal
4509001845,80,1000,1033,20191106,1014606,14,SS Facility Mgt
4805004152,10,1000,1031,20260625,1025696,25,Human Resources
4805004152,40,4100,3200,20231012,1010807,10,Finance
4805004153,70,3000,1000,20190920,1027018,27,Manufacturing Support
4805004154,20,2000,1000,20230420,1027129,27,Manufacturing Support
4509001846,50,2000,1100,20170924,1032791,32,Supply Chain
4805004155,80,4100,1100,20181207,1009351,9,Executive Office
4805004156,30,3000,1100,20181024,1028462,28,SS Global Procurement
4805004157,60,2000,4100,20260403,1015573,15,EHSS
4805004158,10,1000,10M2,20210214,1012684,12,Information Technology
4509001848,20,3000,4100,20210519,1017076,17,Technology & Innovation
4805004159,70,3000,10M2,20180322,1015006,15,EHSS
4805004160,20,2000,1000,20170723,1030117,30,Digitization
4805004161,50,1000,1100,20230924,1030228,30,Digitization
4805004161,80,4100,1033,20190328,1015339,15,EHSS
4509001850,70,4100,10M2,20180924,1010261,10,Finance
4805004163,60,2000,10M2,20230214,1027561,27,Manufacturing Support
4805004164,10,1000,1000,20250201,1023672,23,Corporate Affairs
4805004164,40,4100,4100,20250819,1032783,32,Supply Chain
4805004165,70,3000,1100,20240301,1012894,12,Information Technology
4509001851,40,1000,2100,20230304,1027446,27,Manufacturing Support
4805004167,50,1000,1100,20221005,1009216,9,Executive Office
4805004167,80,4100,1000,20220209,1032327,32,Supply Chain
4805004168,30,3000,4100,20220811,1025438,25,Human Resources
4805004169,60,2000,1031,20231225,1028549,28,SS Global Procurement
4509001853,10,2000,1000,20200702,1028631,28,SS Global Procurement
4805004170,40,4100,10M2,20210219,1015890,32,Supply Chain
4805004171,70,3000,1100,20240224,1017882,17,Technology & Innovation
4805004172,20,2000,1000,20190901,1020093,20,Legal
4805004173,50,1000,1033,20170916,1027204,27,Manufacturing Support
4509001855,60,3000,2100,20200409,1032816,32,Supply Chain
4805004174,30,3000,1100,20240309,1012426,12,Information Technology
4805004175,60,2000,1000,20190714,1030537,30,Digitization
4805004176,10,1000,4100,20211120,1017648,17,Technology & Innovation
4805004176,40,4100,1100,20180127,1027759,27,Manufacturing Support
4509001856,30,4100,1000,20201202,1012101,12,Information Technology
4805004178,20,2000,2100,20200913,1023081,23,Corporate Affairs
4805004179,50,1000,1033,20240525,1025192,25,Human Resources
4805004179,80,4100,4100,20220804,1030303,30,Digitization
4805004180,30,3000,1031,20230910,1023414,23,Corporate Affairs
4509001858,80,1000,2100,20181123,1012286,12,Information Technology
4805004182,10,1000,3200,20260627,1028636,28,SS Global Procurement
4805004182,40,4100,1031,20170116,1012747,12,Information Technology
4805004183,70,3000,1100,20190326,1014858,14,SS Facility Mgt
4805004184,20,2000,1000,20250313,1035069,35,Sales & Marketing
4509001860,50,2000,1000,20251128,1027471,27,Manufacturing Support
4805004185,80,4100,10M1,20220826,1017291,17,Technology & Innovation
4805004186,30,3000,2100,20180906,1025402,25,Human Resources
4805004187,60,2000,10M1,20240423,1010513,10,Finance
4805004188,10,1000,4100,20190721,1023624,23,Corporate Affairs
4509001861,20,3000,1031,20240312,1014656,14,SS Facility Mgt
4805004189,70,3000,10M1,20191103,1030846,30,Digitization
4805004190,20,2000,1100,20181121,1028057,28,SS Global Procurement
4805004191,50,1000,10M1,20230808,1012168,12,Information Technology
4805004191,80,4100,1033,20200103,1009279,9,Executive Office
4509001863,70,4100,1100,20230221,1027841,27,Manufacturing Support
4805004193,60,2000,4100,20230811,1017501,17,Technology & Innovation
4805004194,10,1000,1100,20240423,1030612,30,Digitization
4805004194,40,4100,1031,20260915,1028723,28,SS Global Procurement
4805004195,70,3000,2100,20201123,1009834,9,Executive Office
4509001865,40,1000,10M2,20170210,1025126,25,Human Resources
4805004197,50,1000,1100,20241206,1030156,30,Digitization
4805004197,80,4100,2100,20191024,1023267,23,Corporate Affairs
4805004198,30,3000,10M2,20220518,1030378,30,Digitization
4805004199,60,2000,2100,20260819,1012489,12,Information Technology
4509001866,10,2000,1000,20210206,1014311,14,SS Facility Mgt
4805004200,40,4100,1031,20200102,1015711,15,EHSS
4805004201,70,3000,1031,20180711,1023822,23,Corporate Affairs
4805004202,20,2000,3200,20261010,1027033,27,Manufacturing Support
4805004203,50,1000,3200,20220504,1032144,32,Supply Chain
4509001868,60,3000,1033,20191015,1035496,35,Sales & Marketing
4805004204,30,3000,10M1,20251012,1023366,23,Corporate Affairs
4805004205,60,2000,10M1,20200724,1012477,12,Information Technology
4805004206,10,1000,2100,20170306,1017588,17,Technology & Innovation
4805004206,40,4100,2100,20221212,1030699,30,Digitization
4509001870,30,4100,4100,20230610,1009681,9,Executive Office
4805004208,20,2000,1100,20260725,1028021,28,SS Global Procurement
4805004209,50,1000,1000,20170428,1020132,20,Legal
4805004209,80,4100,1031,20180917,1035243,35,Sales & Marketing
4805004210,30,3000,1031,20200108,1020354,20,Legal
4509001871,80,1000,1031,20241021,1014866,14,SS Facility Mgt
4805004212,10,1000,2100,20230221,1027576,27,Manufacturing Support
4805004212,40,4100,4100,20171122,1035687,35,Sales & Marketing
4805004213,70,3000,1033,20190607,1023798,23,Corporate Affairs
4805004214,20,2000,1100,20220224,1023009,23,Corporate Affairs
4509001873,50,2000,4100,20251209,1028151,28,SS Global Procurement
4805004215,80,4100,10M2,20240805,1012231,12,Information Technology
4805004216,30,3000,2100,20210510,1032342,32,Supply Chain
4805004217,60,2000,10M1,20180306,1025453,25,Human Resources
4805004218,10,1000,1033,20231113,1030564,30,Digitization
4509001875,20,3000,2100,20240727,1027336,27,Manufacturing Support
4805004219,70,3000,3200,20180215,1010071,23,Corporate Affairs
4805004220,20,2000,3200,20260311,1028897,28,SS Global Procurement
4805004221,50,1000,10M1,20220315,1023108,23,Corporate Affairs
4805004221,80,4100,1031,20220404,1027219,27,Manufacturing Support
4509001876,70,4100,4100,20191018,1012521,12,Information Technology
4805004223,60,2000,10M2,20180111,1023441,23,Corporate Affairs
4805004224,10,1000,1100,20190922,1012552,12,Information Technology
4805004224,40,4100,3200,20251211,1035663,35,Sales & Marketing
4805004225,70,3000,1000,20230621,1035774,35,Sales & Marketing
4509001878,40,1000,10M2,20220805,1017706,17,Technology & Innovation
4805004227,50,1000,1000,20240508,1015096,15,EHSS
4805004227,80,4100,1031,20200504,1009207,9,Executive Office
4805004228,30,3000,2100,20190315,1028318,28,SS Global Procurement
4805004229,60,2000,1000,20210304,1017429,17,Technology & Innovation
4509001880,10,2000,1000,20250815,1017891,17,Technology & Innovation
4805004230,40,4100,10M2,20170724,1023651,23,Corporate Affairs
4805004231,70,3000,1000,20171005,1027762,27,Manufacturing Support
4805004232,20,2000,4100,20181007,1012873,12,Information Technology
4805004233,50,1000,1100,20220212,1015361,28,SS Global Procurement
4509001881,60,3000,1000,20200621,1027176,27,Manufacturing Support
4805004234,30,3000,1100,20200825,1028306,28,SS Global Procurement
4805004235,60,2000,1033,20220715,1025417,25,Human Resources
4805004236,10,1000,1000,20180402,1015528,15,EHSS
4805004236,40,4100,10M1,20201115,1015639,15,EHSS
4509001883,30,4100,10M1,20180228,1014361,14,SS Facility Mgt
4805004238,20,2000,4100,20220119,1032861,32,Supply Chain
4805004239,50,1000,1033,20181014,1012072,12,Information Technology
4805004239,80,4100,2100,20240218,1015183,15,EHSS
4805004240,30,3000,2100,20260328,1012294,12,Information Technology
4509001885,80,1000,10M1,20180315,1014546,14,SS Facility Mgt
4805004242,10,1000,4100,20220126,1027516,27,Manufacturing Support
4805004242,40,4100,3200,20241118,1030627,30,Digitization
4805004243,70,3000,1000,20220822,1009738,9,Executive Office
4805004244,20,2000,1033,20170128,1023849,23,Corporate Affairs
4509001886,50,2000,4100,20190603,1012731,12,Information Technology
4805004245,80,4100,1000,20190503,1028171,28,SS Global Procurement
4805004246,30,3000,10M1,20181122,1030282,30,Digitization
4805004247,60,2000,3200,20230519,1032393,32,Supply Chain
4805004248,10,1000,2100,20251121,1032504,32,Supply Chain
4509001888,20,3000,2100,20240106,1020016,20,Legal
4805004249,70,3000,1100,20240314,1032726,32,Supply Chain
4805004250,20,2000,1031,20260328,1015837,15,EHSS
4805004251,50,1000,1000,20170504,1027048,27,Manufacturing Support
4805004251,80,4100,10M2,20240617,1027159,27,Manufacturing Support
4509001890,70,4100,1031,20250625,1032201,32,Supply Chain
4805004253,60,2000,4100,20240108,1028381,28,SS Global Procurement
4805004254,10,1000,4100,20230615,1032492,32,Supply Chain
4805004254,40,4100,1033,20230806,1012603,12,Information Technology
4805004255,70,3000,1100,20200215,1015714,15,EHSS
4509001891,40,1000,4100,20241007,1030386,30,Digitization
4805004257,50,1000,10M2,20210809,1012036,12,Information Technology
4805004257,80,4100,1033,20241008,1009147,9,Executive Office
4805004258,30,3000,10M1,20231002,1028258,28,SS Global Procurement
4805004259,60,2000,1100,20210718,1017369,17,Technology & Innovation
4509001893,10,2000,4100,20241002,1009571,9,Executive Office
4805004260,40,4100,1000,20200412,1027591,27,Manufacturing Support
4805004261,70,3000,1100,20200821,1017702,17,Technology & Innovation
4805004262,20,2000,1033,20260822,1023813,23,Corporate Affairs
4805004263,50,1000,10M1,20190326,1017024,17,Technology & Innovation
4509001895,60,3000,2100,20230902,1012756,12,Information Technology
4805004264,30,3000,1100,20250822,1015246,15,EHSS
4805004265,60,2000,10M1,20180405,1012357,12,Information Technology
4805004266,10,1000,10M2,20240613,1023468,23,Corporate Affairs
4805004266,40,4100,4100,20250327,1027579,27,Manufacturing Support
4509001896,30,4100,4100,20230321,1023041,23,Corporate Affairs
4805004268,20,2000,3200,20181003,1032801,32,Supply Chain
4805004269,50,1000,1100,20190618,1014012,14,SS Facility Mgt
4805004269,80,4100,1100,20250920,1023123,23,Corporate Affairs
4805004270,30,3000,1000,20250425,1027234,27,Manufacturing Support
4509001898,80,1000,1000,20250824,1023226,23,Corporate Affairs
4805004272,10,1000,1031,20210922,1027456,27,Manufacturing Support
4805004272,40,4100,2100,20200124,1023567,23,Corporate Affairs
4805004273,70,3000,3200,20261013,1012678,12,Information Technology
4805004274,20,2000,3200,20230524,1020789,20,Legal
4509001900,50,2000,1033,20241213,1017411,17,Technology & Innovation
4805004275,80,4100,2100,20260210,1014111,14,SS Facility Mgt
4805004276,30,3000,1000,20190304,1012222,12,Information Technology
4805004277,60,2000,1033,20180710,1030333,30,Digitization
4805004278,10,1000,1000,20180416,1023444,23,Corporate Affairs
4509001901,20,3000,1033,20250428,1030596,30,Digitization
4805004279,70,3000,10M1,20190712,1020666,20,Legal
4805004280,20,2000,2100,20191214,1027777,27,Manufacturing Support
4805004281,50,1000,1033,20230420,1017888,17,Technology & Innovation
4805004281,80,4100,4100,20220427,1012099,12,Information Technology
4509001903,70,4100,2100,20250107,1027781,27,Manufacturing Support
4805004283,60,2000,1100,20251010,1010321,10,Finance
4805004284,10,1000,4100,20240406,1028432,28,SS Global Procurement
4805004284,40,4100,2100,20170307,1015543,15,EHSS
4805004285,70,3000,3200,20230210,1027654,27,Manufacturing Support
4509001905,40,1000,10M1,20260814,1017066,17,Technology & Innovation
4805004287,50,1000,10M2,20220225,1023876,23,Corporate Affairs
4805004287,80,4100,10M1,20170712,1009087,9,Executive Office
4805004288,30,3000,4100,20251218,1025198,25,Human Resources
4805004289,60,2000,2100,20231107,1030309,30,Digitization
4509001906,10,2000,1000,20190904,1035251,35,Sales & Marketing
4805004290,40,4100,1000,20191211,1012531,12,Information Technology
4805004291,70,3000,10M2,20260309,1010642,10,Finance
4805004292,20,2000,3200,20230615,1017038,23,Corporate Affairs
4805004293,50,1000,1031,20170416,1020864,20,Legal
4509001908,60,3000,2100,20180928,1025436,25,Human Resources
4805004294,30,3000,10M2,20240206,1025186,25,Human Resources
4805004295,60,2000,1031,20170818,1027732,25,Human Resources
4805004296,10,1000,4100,20260607,1032408,32,Supply Chain
4805004296,40,4100,3200,20250726,1028519,28,SS Global Procurement
4509001910,30,4100,3200,20201009,1028621,28,SS Global Procurement
4805004298,20,2000,1033,20171117,1012741,12,Information Technology
4805004299,50,1000,1031,20201011,1009852,9,Executive Office
4805004299,80,4100,10M2,20261104,1027063,27,Manufacturing Support
4805004300,30,3000,1031,20230224,1028174,28,SS Global Procurement
4509001911,80,1000,1000,20190418,1012806,12,Information Technology
4805004302,10,1000,1031,20240719,1027396,27,Manufacturing Support
4805004302,40,4100,10M1,20170221,1017507,17,Technology & Innovation
4805004303,70,3000,3200,20190527,1030618,30,Digitization
4805004304,20,2000,3200,20210528,1035729,35,Sales & Marketing
4509001913,50,2000,10M1,20240512,1012091,12,Information Technology
4805004305,80,4100,1031,20240222,1035051,35,Sales & Marketing
4805004306,30,3000,3200,20230813,1012162,12,Information Technology
4805004307,60,2000,10M2,20220320,1017273,17,Technology & Innovation
4805004308,10,1000,2100,20191017,1010384,10,Finance
4509001915,20,3000,2100,20200109,1015276,15,EHSS
4805004309,70,3000,1000,20230423,1027606,27,Manufacturing Support
4805004310,20,2000,10M1,20220901,1027717,27,Manufacturing Support
4805004311,50,1000,10M1,20180525,1012828,12,Information Technology
4805004311,80,4100,3200,20181006,1012039,12,Information Technology
4509001916,70,4100,10M2,20220812,1025461,25,Human Resources
4805004313,60,2000,10M1,20190205,1023261,23,Corporate Affairs
4805004314,10,1000,10M1,20260226,1017372,17,Technology & Innovation
4805004314,40,4100,4100,20260208,1012483,12,Information Technology
4805004315,70,3000,3200,20190606,1035594,35,Sales & Marketing
4509001918,40,1000,4100,20191002,1015646,15,EHSS
4805004317,50,1000,4100,20180716,1014816,14,SS Facility Mgt
4805004317,80,4100,4100,20251012,1030027,30,Digitization
4805004318,30,3000,1033,20250620,1009138,9,Executive Office
4805004319,60,2000,3200,20250421,1027249,27,Manufacturing Support
4509001920,10,2000,10M1,20210314,1028831,28,SS Global Procurement
4805004320,40,4100,3200,20191108,1015471,15,EHSS
4805004321,70,3000,4100,20200213,1025582,25,Human Resources
4805004322,20,2000,2100,20170306,1028693,28,SS Global Procurement
4805004323,50,1000,10M2,20250827,1012804,12,Information Technology
4509001921,60,3000,1000,20251208,1009116,9,Executive Office
4805004324,30,3000,4100,20170305,1009126,9,Executive Office
4805004325,60,2000,1000,20220306,1023237,23,Corporate Affairs
4805004326,10,1000,1000,20191007,1010348,10,Finance
4805004326,40,4100,10M2,20201101,1009459,9,Executive Office
4509001923,30,4100,3200,20200610,1030301,30,Digitization
4805004328,20,2000,10M1,20201126,1030681,30,Digitization
4805004329,50,1000,1033,20170127,1027792,27,Manufacturing Support
4805004329,80,4100,10M2,20240404,1010003,10,Finance
4805004330,30,3000,1033,20240822,1035114,35,Sales & Marketing
4509001925,80,1000,4100,20180907,1027486,27,Manufacturing Support
4805004332,10,1000,1033,20190516,1030336,30,Digitization
4805004332,40,4100,1031,20220911,1032447,32,Supply Chain
4805004333,70,3000,1031,20190725,1009558,9,Executive Office
4805004334,20,2000,4100,20250808,1035669,35,Sales & Marketing
4509001926,50,2000,1031,20190713,1035671,35,Sales & Marketing
4805004335,80,4100,1031,20190114,1035891,35,Sales & Marketing
4805004336,30,3000,10M1,20211024,1025102,25,Human Resources
4805004337,60,2000,1031,20260407,1015213,15,EHSS
4805004338,10,1000,1100,20180506,1015324,15,EHSS
4509001928,20,3000,4100,20260805,1012856,12,Information Technology
4805004339,70,3000,10M1,20210526,1012546,12,Information Technology
4805004340,20,2000,1031,20170222,1032657,32,Supply Chain
4805004341,50,1000,10M2,20231008,1030768,30,Digitization
4805004341,80,4100,10M1,20210703,1012879,12,Information Technology
4509001930,70,4100,10M2,20240906,1017141,17,Technology & Innovation
4805004343,60,2000,10M2,20200607,1009201,9,Executive Office
4805004344,10,1000,4100,20210324,1025312,25,Human Resources
4805004344,40,4100,4100,20230902,1023423,23,Corporate Affairs
4805004345,70,3000,4100,20220525,1032534,32,Supply Chain
4509001931,40,1000,1033,20200912,1012326,12,Information Technology
4805004347,50,1000,1033,20240313,1009756,9,Executive Office
4805004347,80,4100,10M2,20221010,1012867,12,Information Technology
4805004348,30,3000,3200,20250528,1027078,27,Manufacturing Support
4805004349,60,2000,1100,20211226,1014189,14,SS Facility Mgt
4509001933,10,2000,2100,20230227,1027511,27,Manufacturing Support
4805004350,40,4100,1000,20260924,1030411,30,Digitization
4805004351,70,3000,4100,20180224,1032522,32,Supply Chain
4805004352,20,2000,10M2,20180722,1030633,30,Digitization
4805004353,50,1000,1031,20260213,1035744,35,Sales & Marketing
4509001935,60,3000,4100,20180811,1009696,9,Executive Office
4805004354,30,3000,2100,20240302,1010066,10,Finance
4805004355,60,2000,1031,20170801,1030177,30,Digitization
4805004356,10,1000,10M2,20170628,1012288,12,Information Technology
4805004356,40,4100,10M1,20190814,1027399,27,Manufacturing Support
4509001936,30,4100,1033,20240108,1009203,15,EHSS
4805004358,20,2000,4100,20250620,1027621,27,Manufacturing Support
4805004359,50,1000,1000,20170428,1023732,23,Corporate Affairs
4805004359,80,4100,1033,20221027,1010843,10,Finance
4805004360,30,3000,3200,20181007,1028054,28,SS Global Procurement
4509001938,80,1000,4100,20190910,1028166,28,SS Global Procurement
4805004362,10,1000,1033,20190508,1010276,10,Finance
4805004362,40,4100,1000,20220513,1028387,28,SS Global Procurement
4805004363,70,3000,10M2,20191205,1017498,17,Technology & Innovation
4805004364,20,2000,1000,20250105,1012609,12,Information Technology
4509001940,50,2000,1031,20170415,1017351,17,Technology & Innovation
4805004365,80,4100,10M2,20230921,1027831,27,Manufacturing Support
4805004366,30,3000,1031,20190422,1009042,9,Executive Office
4805004367,60,2000,1033,20220123,1027153,27,Manufacturing Support
4805004368,10,1000,1100,20181218,1027264,27,Manufacturing Support
4509001941,20,3000,4100,20210425,1028536,28,SS Global Procurement
4805004369,70,3000,4100,20240715,1032486,32,Supply Chain
4805004370,20,2000,1100,20220501,1014597,14,SS Facility Mgt
4805004371,50,1000,10M1,20260720,1030708,30,Digitization
4805004371,80,4100,4100,20240107,1012819,12,Information Technology
4509001943,70,4100,4100,20260818,1025721,25,Human Resources
4805004373,60,2000,1031,20221224,1028141,28,SS Global Procurement
4805004374,10,1000,1100,20170825,1023252,23,Corporate Affairs
4805004374,40,4100,10M1,20251124,1030363,30,Digitization
4805004375,70,3000,1000,20250818,1010474,10,Finance
4509001945,40,1000,1000,20200123,1010006,10,Finance
4805004377,50,1000,1000,20171114,1012696,12,Information Technology
4805004377,80,4100,1000,20170810,1027807,27,Manufacturing Support
4805004378,30,3000,10M1,20220626,1014018,14,SS Facility Mgt
4805004379,60,2000,1000,20250410,1035129,35,Sales & Marketing
4509001946,10,2000,10M1,20211223,1027191,27,Manufacturing Support
4805004380,40,4100,1031,20240621,1012351,12,Information Technology
4805004381,70,3000,3200,20170114,1017462,17,Technology & Innovation
4805004382,20,2000,1000,20190909,1023573,23,Corporate Affairs
4805004383,50,1000,1033,20220118,1035684,35,Sales & Marketing
4509001948,60,3000,10M1,20240109,1012376,12,Information Technology
4805004384,30,3000,1100,20200525,1028006,28,SS Global Procurement
4805004385,60,2000,1000,20180610,1035117,35,Sales & Marketing
4805004386,10,1000,3200,20240915,1028228,28,SS Global Procurement
4805004386,40,4100,2100,20180124,1023339,23,Corporate Affairs
4509001950,30,4100,10M2,20170307,1012561,12,Information Technology
4805004388,20,2000,10M1,20230516,1010561,10,Finance
4805004389,50,1000,3200,20231216,1012672,12,Information Technology
4805004389,80,4100,1000,20180304,1030783,30,Digitization
4805004390,30,3000,10M1,20201209,1009894,9,Executive Office
4509001951,80,1000,1033,20220921,1030746,30,Digitization
4805004392,10,1000,1033,20261004,1035216,35,Sales & Marketing
4805004392,40,4100,1000,20260210,1030327,30,Digitization
4805004393,70,3000,1000,20190916,1023438,23,Corporate Affairs
4805004394,20,2000,10M2,20231224,1014549,14,SS Facility Mgt
4509001953,50,2000,1031,20240818,1032031,32,Supply Chain
4805004395,80,4100,3200,20180112,1028771,28,SS Global Procurement
4805004396,30,3000,1031,20210424,1028882,28,SS Global Procurement
4805004397,60,2000,1000,20201021,1012093,12,Information Technology
